exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
E,dinov2_b,occluded,11,mean,matched,occluded,contact_state,auroc,0.9493162500000001,0.9401881510416666,0.9592172395833334,0.0021828816923138094,5,0.5,0.6
E,dinov2_b,occluded,11,mean,matched,occluded,contact_state,balanced_accuracy,0.8643750000000001,0.8425,0.8839635416666666,0.00562114065134667,5,0.5,0.6
E,dinov2_b,occluded,11,mean,matched,occluded,ee_obj_dist,r2,0.9264211797300561,0.9122608092456331,0.9407949121191513,0.00401159305851907,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,friction_slide,r2,-0.0009922317651257506,-0.059469104230647246,0.027677223492959223,0.009070874801504335,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,log_mass,r2,-0.01632505505795736,-0.08534785419101386,0.010873024297263625,0.008303465034366936,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_x,r2,0.9325146738467118,0.9185775339813252,0.9444636986691541,0.003108631418916735,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_y,r2,0.8890981305221708,0.8636526230597682,0.9074074503199655,0.0021142199857577338,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,obj_speed,r2,0.3117419864805271,0.2504078031362255,0.37899820537651413,0.015732086916713826,5,0.0,
E,dinov2_b,occluded,11,mean,matched,occluded,support_state,auroc,0.8926301325489684,0.8602509454155973,0.9208246335847787,0.006063751430044713,5,0.5,0.8335
E,dinov2_b,occluded,11,mean,matched,occluded,support_state,balanced_accuracy,0.7908412794918622,0.7583453801079595,0.825722059644495,0.00428226337263395,5,0.5,0.8335
E,dinov2_b,paired,8,cls,transfer,base,contact_state,auroc,0.9605420833333334,0.9549400607638889,0.9652276736111112,0.0009641063746705432,5,0.5,0.6
E,dinov2_b,paired,8,cls,transfer,base,contact_state,balanced_accuracy,0.8900972222222222,0.8790277777777777,0.8995833333333334,0.002100209425183497,5,0.5,0.6
