exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
E,3,dinov2_b,occluded,11,mean,matched,occluded,contact_state,2000,200,auroc,0.9509729166666666,0.9446508854166666,0.9572115625,0.5,0.6
E,3,dinov2_b,occluded,11,mean,matched,occluded,ee_obj_dist,2000,200,r2,0.932990539079788,0.9247486017702342,0.9407949121191513,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,friction_slide,2000,200,r2,-0.0037719188524099057,-0.04482690888918477,0.015167125291812474,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,log_mass,2000,200,r2,-0.007640249997534321,-0.042572209824403726,0.010873024297263625,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_x,2000,200,r2,0.937219410544682,0.9288912447369896,0.9444636986691541,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_y,2000,200,r2,0.8904939206625742,0.8737533807845264,0.9038934926123776,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,obj_speed,2000,200,r2,0.3006092399260726,0.25234818424038985,0.34326115495819587,0.0,
E,3,dinov2_b,occluded,11,mean,matched,occluded,support_state,2000,200,balanced_accuracy,0.7930328454021578,0.7676598289215291,0.8171889429609263,0.5,0.8445
E,3,dinov2_b,occluded,11,mean,matched,occluded,support_state,2000,200,auroc,0.902069186089678,0.8802920168625661,0.9208246335847787,0.5,0.8445
E,3,dinov2_b,occluded,8,cls,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8733333333333333,0.8597916666666667,0.8866666666666667,0.5,0.6
E,3,dinov2_b,occluded,8,cls,matched,occluded,contact_state,2000,200,auroc,0.9518958333333334,0.9443620572916667,0.9590655729166666,0.5,0.6
E,3,dinov2_b,occluded,8,cls,matched,occluded,ee_obj_dist,2000,200,r2,0.9161096806389971,0.903113402629624,0.9270816001178781,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,friction_slide,2000,200,r2,-0.006842955877989887,-0.05145025418902613,0.018032007337259705,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,log_mass,2000,200,r2,-0.008702203621549387,-0.04170295925396659,0.007103043522022917,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,obj_pos_x,2000,200,r2,0.9253205748349973,0.9122614568974222,0.9356268547937705,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,obj_pos_y,2000,200,r2,0.8706186517740411,0.8488394041903984,0.8878292820705026,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,obj_speed,2000,200,r2,0.26557925936367055,0.21931771184471358,0.30311961980935337,0.0,
E,3,dinov2_b,occluded,8,cls,matched,occluded,support_state,2000,200,balanced_accuracy,0.7764911599359579,0.7482343993571117,0.8040278788744202,0.5,0.8445
E,3,dinov2_b,occluded,8,cls,matched,occluded,support_state,2000,200,auroc,0.8827518328355026,0.8592115502268661,0.9031926292103354,0.5,0.8445
E,3,dinov2_b,occluded,8,mean,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8572916666666667,0.843125,0.87125,0.5,0.6
E,3,dinov2_b,occluded,8,mean,matched,occluded,contact_state,2000,200,auroc,0.943465625,0.936393203125,0.9506333072916666,0.5,0.6
E,3,dinov2_b,occluded,8,mean,matched,occluded,ee_obj_dist,2000,200,r2,0.9283702040463908,0.918865560811605,0.9368690860759267,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,friction_slide,2000,200,r2,0.000797174556704916,-0.039485613620694374,0.019357534191284644,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,log_mass,2000,200,r2,-0.014699996833821283,-0.05139966711097629,0.006528479978994705,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,obj_pos_x,2000,200,r2,0.9358851977705134,0.9212154492090525,0.9468083550086882,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,obj_pos_y,2000,200,r2,0.8868885861469229,0.8699806779913312,0.9016942204106806,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,obj_speed,2000,200,r2,0.2430771700084674,0.1929905479622829,0.28218248094022175,0.0,
E,3,dinov2_b,occluded,8,mean,matched,occluded,support_state,2000,200,balanced_accuracy,0.7653646919065868,0.7337339079737759,0.7936463674651517,0.5,0.8445
E,3,dinov2_b,occluded,8,mean,matched,occluded,support_state,2000,200,auroc,0.8685955463667879,0.8439091188413821,0.8917226079735024,0.5,0.8445
E,3,dinov2_b,paired,11,cls,transfer,base,contact_state,6000,600,balanced_accuracy,0.89625,0.8890972222222222,0.903265625,0.5,0.6
E,3,dinov2_b,paired,11,cls,transfer,base,contact_state,6000,600,auroc,0.9635898148148148,0.9596586689814814,0.9673255237268519,0.5,0.6
E,3,dinov2_b,paired,11,cls,transfer,base,ee_obj_dist,6000,600,r2,0.9234581461780442,0.9182947808602083,0.9281401894233559,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,friction_slide,6000,600,r2,-0.0004439830184024274,-0.012812875487592084,0.007229661865425156,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,log_mass,6000,600,r2,-0.003577412811152314,-0.015349723963911798,0.0034716797930572692,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,obj_pos_x,6000,600,r2,0.8993165045327307,0.8907801478107115,0.9072864245929538,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,obj_pos_y,6000,600,r2,0.8694324993417157,0.8589893240423654,0.8786790532696603,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,obj_speed,6000,600,r2,0.23046487587363518,0.2048056741027753,0.25399641430935704,0.0,
E,3,dinov2_b,paired,11,cls,transfer,base,support_state,6000,600,balanced_accuracy,0.7428791509756933,0.7242855035449256,0.7604126281674151,0.5,0.8466666666666667
E,3,dinov2_b,paired,11,cls,transfer,base,support_state,6000,600,auroc,0.8884222013009243,0.8755520994353871,0.9009095114691495,0.5,0.8466666666666667
E,3,dinov2_b,paired,11,cls,transfer,occluded,contact_state,1760,176,balanced_accuracy,0.7575757575757576,0.7391098484848484,0.7760416666666666,0.5,0.6
E,3,dinov2_b,paired,11,cls,transfer,occluded,contact_state,1760,176,auroc,0.8532089359504132,0.8410698672628272,0.8649703601175104,0.5,0.6
E,3,dinov2_b,paired,11,cls,transfer,occluded,ee_obj_dist,1760,176,r2,0.5786163016110745,0.5485031866719908,0.6060932087053209,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,friction_slide,1760,176,r2,-0.002273323207895972,-0.034745347461533724,0.008512904678973244,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,log_mass,1760,176,r2,0.001022962034290531,-0.03189210923417829,0.015065899651309219,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,obj_pos_x,1760,176,r2,0.37414706609560233,0.3043749010436574,0.4355672016607238,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,obj_pos_y,1760,176,r2,0.5833928232128047,0.5342626127283302,0.6223720580916784,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,obj_speed,1760,176,r2,-0.08230513738767442,-0.18692874448814453,-0.0012370425587082017,0.0,
E,3,dinov2_b,paired,11,cls,transfer,occluded,support_state,1760,176,balanced_accuracy,0.6420954511558539,0.6038766367893705,0.6786628493433792,0.5,0.8465909090909091
E,3,dinov2_b,paired,11,cls,transfer,occluded,support_state,1760,176,auroc,0.6843077305493412,0.64681877467681,0.7213293310709868,0.5,0.8465909090909091
E,3,dinov2_b,paired,11,mean,transfer,base,contact_state,6000,600,balanced_accuracy,0.8923611111111112,0.8852083333333334,0.9000694444444444,0.5,0.6
E,3,dinov2_b,paired,11,mean,transfer,base,contact_state,6000,600,auroc,0.9620535879629629,0.9582320052083333,0.9659265856481482,0.5,0.6
E,3,dinov2_b,paired,11,mean,transfer,base,ee_obj_dist,6000,600,r2,0.9377319249978272,0.9334554819273552,0.9418738086207659,0.0,
E,3,dinov2_b,paired,11,mean,transfer,base,friction_slide,6000,600,r2,-0.0033085562130512614,-0.02154849494320128,0.012070785594764473,0.0,
E,3,dinov2_b,paired,11,mean,transfer,base,log_mass,6000,600,r2,-0.00526959629126722,-0.018091194428267298,0.0038376647050688394,0.0,
