exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
D,dinov2_b,base,5,cls,real,base,support_state,auroc,0.8733327319130048,0.8508268877119372,0.9020151609076099,0.007996684769703504,5,0.5,0.8443333333333334
D,dinov2_b,base,5,cls,real,base,support_state,balanced_accuracy,0.7398149970612564,0.7121501403885837,0.7692300703611308,0.0079219009775244,5,0.5,0.8443333333333334
D,dinov2_b,base,5,mean,real,base,contact_state,auroc,0.9426742592592593,0.9368826215277778,0.949218509837963,0.0012151496109664385,5,0.5,0.6
D,dinov2_b,base,5,mean,real,base,contact_state,balanced_accuracy,0.861375,0.8497916666666667,0.8738888888888889,0.002379584593895824,5,0.5,0.6
D,dinov2_b,base,5,mean,real,base,ee_obj_dist,r2,0.9210185949113978,0.9127137073977216,0.9288378786713062,0.0018320129573338854,5,0.0,
D,dinov2_b,base,5,mean,real,base,friction_slide,r2,-0.007581449013457764,-0.03357098880483357,0.008737117785049322,0.0047044894229614055,5,0.0,
D,dinov2_b,base,5,mean,real,base,log_mass,r2,-0.005686386692681867,-0.029924677244350086,0.012516891702746927,0.006181131457993827,5,0.0,
D,dinov2_b,base,5,mean,real,base,obj_pos_x,r2,0.9154346226266064,0.8967613259282289,0.9295678695596996,0.004709689418979256,5,0.0,
D,dinov2_b,base,5,mean,real,base,obj_pos_y,r2,0.8767904140801616,0.8471228803277433,0.8965416619726452,0.006042474262310917,5,0.0,
D,dinov2_b,base,5,mean,real,base,obj_speed,r2,0.23466680250139146,0.19563728624234755,0.2668151875020448,0.010063093770487084,5,0.0,
D,dinov2_b,base,5,mean,real,base,support_state,auroc,0.8755916283013395,0.8539014538445682,0.9002555841936553,0.0062534950281129716,5,0.5,0.8443333333333334
D,dinov2_b,base,5,mean,real,base,support_state,balanced_accuracy,0.7516580670096533,0.7278902504153884,0.7862368287458261,0.008809767466365347,5,0.5,0.8443333333333334
D,dinov2_b,base,8,cls,real,base,contact_state,auroc,0.9605420833333334,0.9549400607638889,0.9652276736111112,0.0009641063746705432,5,0.5,0.6
D,dinov2_b,base,8,cls,real,base,contact_state,balanced_accuracy,0.8900972222222222,0.8790277777777777,0.8995833333333334,0.002100209425183497,5,0.5,0.6
D,dinov2_b,base,8,cls,real,base,ee_obj_dist,r2,0.9272650150429176,0.9184620832470645,0.9345215631107862,0.002077096076846409,5,0.0,
D,dinov2_b,base,8,cls,real,base,friction_slide,r2,-0.00620538333477807,-0.03906300124297456,0.011486618637821997,0.008171475787664483,5,0.0,
D,dinov2_b,base,8,cls,real,base,log_mass,r2,-0.006409917440524016,-0.025652524082677493,0.008036646485601637,0.004288991054653401,5,0.0,
D,dinov2_b,base,8,cls,real,base,obj_pos_x,r2,0.920849909534861,0.9012981043218483,0.9331178223427496,0.00487988279814607,5,0.0,
D,dinov2_b,base,8,cls,real,base,obj_pos_y,r2,0.8777244459155057,0.8590553055482283,0.893953056180163,0.004037016095556526,5,0.0,
D,dinov2_b,base,8,cls,real,base,obj_speed,r2,0.24771072976692116,0.19971622518469148,0.28451056762239235,0.01259132701876681,5,0.0,
D,dinov2_b,base,8,cls,real,base,support_state,auroc,0.8918761171243041,0.8705686227228993,0.915805738114363,0.006949457959391134,5,0.5,0.8443333333333334
D,dinov2_b,base,8,cls,real,base,support_state,balanced_accuracy,0.7571370962635604,0.7311365717407221,0.7831288247276892,0.0061984055066867634,5,0.5,0.8443333333333334
D,dinov2_b,base,8,mean,real,base,contact_state,auroc,0.9546739583333335,0.9481138339120371,0.9619410416666667,0.0017633503509810985,5,0.5,0.6
D,dinov2_b,base,8,mean,real,base,contact_state,balanced_accuracy,0.8776666666666667,0.8655555555555556,0.8897916666666668,0.0033044465926915316,5,0.5,0.6
D,dinov2_b,base,8,mean,real,base,ee_obj_dist,r2,0.9359105617438447,0.9304222301019062,0.9411070062309583,0.0007546140966710719,5,0.0,
D,dinov2_b,base,8,mean,real,base,friction_slide,r2,-0.005277760852510171,-0.03369240933470853,0.010781204874825485,0.005859830234402854,5,0.0,
D,dinov2_b,base,8,mean,real,base,log_mass,r2,-0.005018031027941849,-0.02690251589906701,0.011504358042751864,0.00563539376205317,5,0.0,
