exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
F,random_b,base,5,cls,scene_pooled,base,friction_slide,r2,-0.0034912567429609574,-0.0358771030610341,0.0047913684036251115,0.006117228869555952,5,0.0,
F,random_b,base,5,cls,scene_pooled,base,log_mass,r2,-0.0006165212578414847,-0.01437373218379751,0.004906452869400381,0.0015077118454256528,5,0.0,
F,random_b,base,5,mean,scene_pooled,base,friction_slide,r2,-0.0077797905327742665,-0.04577552338811593,0.005752210724696285,0.010733646169799445,5,0.0,
F,random_b,base,5,mean,scene_pooled,base,log_mass,r2,-0.00047012442040483826,-0.01336410332530385,0.004324684869674096,0.0011162197723285786,5,0.0,
F,random_b,base,8,cls,scene_pooled,base,friction_slide,r2,-0.003389605053736444,-0.036665688942082594,0.00522794039620631,0.006299990655063893,5,0.0,
F,random_b,base,8,cls,scene_pooled,base,log_mass,r2,-0.0005504300208649226,-0.01441029785272897,0.005239142782453632,0.0014843745958273943,5,0.0,
F,random_b,base,8,mean,scene_pooled,base,friction_slide,r2,-0.005460293545001748,-0.05219880927690347,0.005671813283579058,0.011620169795424984,5,0.0,
F,random_b,base,8,mean,scene_pooled,base,log_mass,r2,-0.0004384015528077878,-0.013422933281236681,0.004374802421958134,0.001118503015202724,5,0.0,
F,random_b,base,11,cls,scene_pooled,base,friction_slide,r2,-0.00475428679288723,-0.04566665398506238,0.0050896951447139205,0.008799374078281902,5,0.0,
F,random_b,base,11,cls,scene_pooled,base,log_mass,r2,-0.0005111508012011878,-0.014192922708703625,0.005172869724729997,0.00147135261209087,5,0.0,
F,random_b,base,11,mean,scene_pooled,base,friction_slide,r2,-0.007837724930883394,-0.046275965110037974,0.005755413656016254,0.010914587677240064,5,0.0,
F,random_b,base,11,mean,scene_pooled,base,log_mass,r2,-0.00040697250776891016,-0.013212893121899072,0.004362814662466498,0.001054244733137976,5,0.0,
F,videomae_b,base,2,mean,real,base,friction_slide,r2,0.14675035338868525,0.003464325921707182,0.2724337579029086,0.0477611154801973,5,0.0,
F,videomae_b,base,2,mean,real,base,log_mass,r2,-0.0008615710989654968,-0.014778697712469657,0.005880812765387671,0.0017575123419820342,5,0.0,
F,videomae_b,base,5,mean,real,base,friction_slide,r2,0.3399215577650946,0.25261063183734017,0.4306582171243985,0.018992652598592563,5,0.0,
F,videomae_b,base,5,mean,real,base,log_mass,r2,-0.0010008748927100354,-0.014297168979520759,0.005616581757686175,0.0011898481003731478,5,0.0,
F,videomae_b,base,8,mean,real,base,friction_slide,r2,0.36854126454503394,0.2728282171356593,0.44250252008934,0.01846684851677918,5,0.0,
F,videomae_b,base,8,mean,real,base,log_mass,r2,-0.0006464371057355534,-0.014005046386406105,0.0061567561153696975,0.0010189104886759658,5,0.0,
F,videomae_b,base,11,mean,real,base,friction_slide,r2,0.30444166603046463,0.21240718406462372,0.3953617550023018,0.02933819913904408,5,0.0,
F,videomae_b,base,11,mean,real,base,log_mass,r2,-0.0004111198223797796,-0.014175849041223687,0.006071421981583928,0.0011607587697468065,5,0.0,
F,vjepa2,base,5,mean,real,base,friction_slide,r2,0.3515336410863862,0.22361607998283514,0.4546855818337593,0.03255729148238398,5,0.0,
F,vjepa2,base,5,mean,real,base,log_mass,r2,-0.001240576906680424,-0.014291781515753988,0.005036076407263229,0.0012237361764055562,5,0.0,
F,vjepa2,base,11,mean,real,base,friction_slide,r2,0.4955226068705375,0.402670885821697,0.5637589407166244,0.019335470761978668,5,0.0,
F,vjepa2,base,11,mean,real,base,log_mass,r2,0.00019971228002073625,-0.013965482342484275,0.007476531510438905,0.001622879343312307,5,0.0,
F,vjepa2,base,17,mean,real,base,friction_slide,r2,0.5934744462154521,0.5113572285891729,0.6524191242022895,0.015923070159990997,5,0.0,
F,vjepa2,base,17,mean,real,base,log_mass,r2,-0.0015487996775397361,-0.015972709342152124,0.005994798226564953,0.003022361790301583,5,0.0,
F,vjepa2,base,23,mean,real,base,friction_slide,r2,0.5647840456717228,0.46826188170763183,0.6283663037017716,0.019955706480270716,5,0.0,
F,vjepa2,base,23,mean,real,base,log_mass,r2,-0.00368443997846426,-0.01979424826824643,0.004106826345818247,0.0028628536016315266,5,0.0,
