exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
C,1,random_b,base,2,cls,real,base,ee_obj_dist,6000,600,r2,0.601186035922169,0.5860004881781262,0.6162461608300291,0.0,
C,1,random_b,base,2,cls,real,base,friction_slide,6000,600,r2,0.003062361120212742,-0.007606559488636394,0.008180162568568667,0.0,
C,1,random_b,base,2,cls,real,base,log_mass,6000,600,r2,-0.0031718570846679395,-0.016244295922560603,0.003797587555422321,0.0,
C,1,random_b,base,2,cls,real,base,obj_pos_x,6000,600,r2,0.45929229265304683,0.4352424016503612,0.48402664967537096,0.0,
C,1,random_b,base,2,cls,real,base,obj_pos_y,6000,600,r2,0.44766418333202507,0.41828505027545904,0.47393047758349666,0.0,
C,1,random_b,base,2,cls,real,base,obj_speed,6000,600,r2,0.08052871454422095,0.06327417810711647,0.09649196781283456,0.0,
C,1,random_b,base,2,cls,real,base,support_state,6000,600,balanced_accuracy,0.5787625938460341,0.5658017105715925,0.5928957104454216,0.5,0.836
C,1,random_b,base,2,cls,real,base,support_state,6000,600,auroc,0.7497339813410095,0.7297744662662228,0.7694818862649543,0.5,0.836
C,1,random_b,base,2,mean,real,base,contact_state,6000,600,balanced_accuracy,0.7552083333333334,0.7453454861111111,0.7647916666666666,0.5,0.6
C,1,random_b,base,2,mean,real,base,contact_state,6000,600,auroc,0.8459475694444445,0.838801796875,0.8530330873842593,0.5,0.6
C,1,random_b,base,2,mean,real,base,ee_obj_dist,6000,600,r2,0.6215077346596223,0.6086186970306616,0.6346211372731058,0.0,
C,1,random_b,base,2,mean,real,base,friction_slide,6000,600,r2,0.004620726659911756,-0.006009492733145838,0.009834275449169002,0.0,
C,1,random_b,base,2,mean,real,base,log_mass,6000,600,r2,-0.0028764427301564144,-0.016495095013270556,0.004443368628134076,0.0,
C,1,random_b,base,2,mean,real,base,obj_pos_x,6000,600,r2,0.4901906639626341,0.46573274148531574,0.5129010383594677,0.0,
C,1,random_b,base,2,mean,real,base,obj_pos_y,6000,600,r2,0.4942702625953803,0.4707210810557759,0.5169049135535484,0.0,
C,1,random_b,base,2,mean,real,base,obj_speed,6000,600,r2,0.08489898601797818,0.06942068001425997,0.09896011042134978,0.0,
